immeubles_appellation_courante,immeubles_date_siecle,immeubles_adresse,immeubles_reference,immeubles_lat,immeubles_long,immeubles_coordonnees_finales,immeubles_geopoint,nom_realisateur,nationalite_realisateur,date_naissance_realisateur,id_lieu_tournage,annee_tournage,type_tournage,nom_tournage,nom_producteur,adresse_lieu,ardt_lieu,tournage_debut,tournage_duree,tournage_fin,coord_x,coord_y,filmLabel,imdbID,visa,cost,geopoint_tournage,id_lieu_tournage_count
Immeuble,17e siècle,21 quai de l'Horloge,PA00085891,2.34313335594741,48.8568786735338,"48.8568786735,2.34313335595",POINT(48.8568786735338 2.34313335594741),Fred Garson,France,2000-01-01T00:00:00Z,2016-1014,2016,Série TV,S HOMMES DE L'OMBRE,Macondo,Rue  De Harlay,75001,2016-04-04T00:00:00.000Z,1,2016-04-04T00:00:00.000Z,2.343164,48.856701,,,,,POINT(48.856701 2.343164),1
,,,,,,,,Fred Garson,France,2000-01-01T00:00:00Z,2016-1015,2016,Série TV,S HOMMES DE L'OMBRE,Macondo,Rue  Du 8 Mai 1945,75010,2016-04-05T00:00:00.000Z,1,2016-04-05T00:00:00.000Z,2.357469,48.876163,,,,,POINT(48.876163 2.357469),1
,,,,,,,,Fred Garson,France,2000-01-01T00:00:00Z,2016-1016,2016,Série TV,S HOMMES DE L'OMBRE,Macondo,Rue  Fenelon,75010,2016-04-05T00:00:00.000Z,1,2016-04-05T00:00:00.000Z,2.3513159999999997,48.87872,,,,,POINT(48.87872 2.3513159999999997),1
,,,,,,,,Fred Garson,France,2000-01-01T00:00:00Z,2016-1017,2016,Série TV,S HOMMES DE L'OMBRE,Macondo,Pont  De Bercy,75012,2016-04-15T00:00:00.000Z,1,2016-04-15T00:00:00.000Z,2.383423,48.832325,,,,,POINT(48.832325 2.383423),1
,,,,,,,,Charlotte Brandström,Sweden,1959-05-30T00:00:00Z,2016-1018,2016,Série TV,ART DU CRIME,Gaumont Television,Rue  Gaston Saint Paul,75016,2016-07-04T00:00:00.000Z,1,2016-07-04T00:00:00.000Z,2.298545,48.864477,,,,,POINT(48.864477 2.298545),1
,,,,,,,,Christophe Campos,France,1950-01-01T00:00:00Z,2016-1019,2016,Série TV,CLEM,Merlin Productions,Rue  Des Nanettes /condillac,75011,2016-07-11T00:00:00.000Z,1,2016-07-11T00:00:00.000Z,2.383377,48.864409,,,,,POINT(48.864409 2.383377),1
,,,,,,,,Maxime Govare,France,1980-09-29T00:00:00Z,2016-102,2016,Long métrage,JUST DIVORCED,Les Improductibles,Place  Rhin Et Danube,75019,2016-09-26T00:00:00.000Z,1,2016-09-26T00:00:00.000Z,2.3929169999999997,48.882152,,,,,POINT(48.882152 2.3929169999999997),1
,,,,,,,,Gabriel Aghion,France,1955-12-30T00:00:00Z,2016-1020,2016,Série TV,VIE DEVANT ELLES,Cineteve,40  Rue  Notre Dame,75002,2016-07-19T00:00:00.000Z,1,2016-07-19T00:00:00.000Z,2.342135,48.868876,,,,,POINT(48.868876 2.342135),1
,,,,,,,,Frédéric Jardin,France,1968-05-28T00:00:00Z,2016-1021,2016,Série TV,ENGRENAGES//N° 1 A 6,Son Et Lumiere,4  Boulevard  Du Palais/palais De Justice,75001,2016-07-30T00:00:00.000Z,1,2016-07-30T00:00:00.000Z,2.345992,48.855732,,,,,POINT(48.855732 2.345992),1
,,,,,,,,Emmanuelle Bercot,France,1967-11-06T00:00:00Z,2016-1022,2016,Long métrage,FILLE DE BREST,Haut Et Court,5 Bis  Boulevard  Exelmans (bar Le Mathusalem),75016,2016-01-20T00:00:00.000Z,1,2016-01-20T00:00:00.000Z,2.261179,48.842818,FILLE DE BREST,tt5247544,,,POINT(48.842818 2.261179),1
,,,,,,,,Lucien Jean-Baptiste,France,1978-01-01T00:00:00Z,2016-1023,2016,Long métrage,IL A DEJA TES YEUX,Nolita Cinema,Rue  Scheffer,75016,2016-02-08T00:00:00.000Z,1,2016-02-08T00:00:00.000Z,2.282488,48.861646,,,,,POINT(48.861646 2.282488),1
,,,,,,,,Aditya Chopra,India,1971-05-21T00:00:00Z,2016-1024,2016,Long métrage,BEFIKRE,Firstep,Rue  De La Bonne,75018,2016-02-25T00:00:00.000Z,1,2016-02-25T00:00:00.000Z,2.343412,48.887950000000004,BEFIKRE,tt5108476,,,POINT(48.887950000000004 2.343412),1
